president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,All polls,11/4/2017,37.88012,42.41156,33.34868,56.50428,61.09159,51.91697,13:05:16  4 Nov 2017
Donald Trump,Adults,11/3/2017,37.21225,40.93717,33.48733,57.17183,61.87044,52.47322,17:25:22  3 Nov 2017
Donald Trump,Voters,11/3/2017,38.97559,43.54144,34.40973,55.98032,60.71075,51.24989,17:25:26  3 Nov 2017
Donald Trump,All polls,11/3/2017,37.8332,42.36376,33.30264,56.58921,61.17087,52.00755,17:25:17  3 Nov 2017
Donald Trump,Voters,11/2/2017,39.50467,43.86527,35.14406,55.37743,59.75625,50.99862,19:18:25  2 Nov 2017
Donald Trump,Adults,11/2/2017,37.38071,41.12535,33.63607,56.87278,61.39518,52.35038,19:18:20  2 Nov 2017
Donald Trump,All polls,11/2/2017,37.97559,42.52827,33.4229,56.40167,60.83871,51.96463,19:18:15  2 Nov 2017
Donald Trump,Adults,11/1/2017,36.73897,40.30959,33.16835,57.62163,62.53848,52.70478,14:37:21  1 Nov 2017
Donald Trump,Voters,11/1/2017,39.45043,43.836,35.06485,55.40435,59.82651,50.98219,14:37:25  1 Nov 2017
Donald Trump,All polls,11/1/2017,37.75723,42.39159,33.12287,56.76285,61.45495,52.07076,14:37:16  1 Nov 2017
Donald Trump,Adults,10/31/2017,36.13458,39.5146,32.75456,58.07021,62.80627,53.33414,15:10:23 31 Oct 2017
Donald Trump,Voters,10/31/2017,38.73505,43.0513,34.4188,56.16645,60.4187,51.9142,15:10:27 31 Oct 2017
Donald Trump,All polls,10/31/2017,37.24255,41.83614,32.64895,57.15416,61.77101,52.5373,15:10:18 31 Oct 2017
Donald Trump,Voters,10/30/2017,38.96075,43.36547,34.55602,56.08945,60.45528,51.72363,13:05:24 30 Oct 2017
Donald Trump,Adults,10/30/2017,36.08981,39.60581,32.5738,57.94589,62.78593,53.10584,13:05:20 30 Oct 2017
Donald Trump,All polls,10/30/2017,37.26442,42.03175,32.49708,57.09366,61.82941,52.35792,13:05:15 30 Oct 2017
Donald Trump,Adults,10/29/2017,36.28357,39.66254,32.9046,57.75093,62.47608,53.02577,13:23:19 29 Oct 2017
Donald Trump,Voters,10/29/2017,38.7843,42.95199,34.6166,56.29276,60.53031,52.05521,13:23:23 29 Oct 2017
Donald Trump,All polls,10/29/2017,37.26856,41.76267,32.77445,57.08418,61.68118,52.48719,13:23:14 29 Oct 2017
Donald Trump,Adults,10/28/2017,36.12514,39.49284,32.75744,57.38434,62.2604,52.50828,13:10:19 28 Oct 2017
