date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2
1922-11-12,1922,0,,CHI,OOR,1650.896,1294.323,0.9188459487597511,0.08115405124024888,1655.435,1289.784,33,6
1922-11-12,1922,0,,RII,DAY,1567.237,1519.867,0.6563011052091885,0.3436988947908115,1591.985,1495.119,43,0
1922-11-12,1922,0,,CBD,BFF,1632.025,1605.724,0.6284494812015127,0.37155051879848733,1641.916,1595.833,3,0
1922-11-12,1922,0,,LOU,ECG,1350.506,1387.704,0.539925113157954,0.460074886842046,1369.401,1368.809,13,6
1922-11-19,1922,0,,ARI,CBD,1564.38,1641.916,0.4819670706587426,0.5180329293412573,1544.45,1661.847,0,7
1922-11-19,1922,0,,CHI,RII,1655.435,1591.985,0.6768684965766002,0.3231315034233998,1663.899,1583.52,3,0
1922-11-19,1922,0,,RAC,GB,1489.644,1445.025,0.6527201840938102,0.34727981590618984,1484.986,1449.683,3,3
1922-11-19,1922,0,,BFF,AKR,1595.833,1556.972,0.6451692970693004,0.3548307029306996,1591.406,1561.399,3,3
1922-11-19,1922,0,,MIL,OOR,1348.087,1289.784,0.6703545623143469,0.32964543768565313,1364.563,1273.308,13,0
1922-11-26,1922,0,,RAC,HAM,1484.986,1383.402,0.722908441157773,0.277091558842227,1495.011,1373.377,6,0
1922-11-26,1922,0,,GB,MIL,1449.683,1364.563,0.7035291028558455,0.29647089714415453,1464.332,1349.914,13,0
1922-11-26,1922,0,,CBD,ARI,1661.847,1544.45,0.7407675123971813,0.2592324876028187,1675.686,1530.611,20,3
1922-11-26,1922,0,,TOL,COL,1565.678,1317.532,0.8584667501694144,0.14153324983058557,1567.396,1315.814,7,6
1922-11-26,1922,0,,CHI,AKR,1663.899,1561.399,0.7239634269166209,0.27603657308337914,1676.201,1549.098,20,10
